method,split,AUUC_version,AUUC,AUUC_thout,AUUC_emp
NO0.1,1,AUUC_cr_V1,604.7776111998357,893.7500000000016,604.7776111998357
NO0.1,1,AUUC_cr_V2,928.9759258270767,893.75,928.9759258270767
NO0.1,1,AUUC_cr_V1V2(0.5),766.8767685134648,893.7500000000026,766.8767685134648
NO0.5,1,AUUC_cr_V1,591.5143490068044,871.2500000000016,591.5143490068044
NO0.5,1,AUUC_cr_V2,918.3109839596578,871.25,918.3109839596578
NO0.5,1,AUUC_cr_V1V2(0.5),754.912666483238,871.2500000000026,754.912666483238
NO1.0,1,AUUC_cr_V1,496.04053741089416,801.2500000000014,496.04053741089416
NO1.0,1,AUUC_cr_V2,928.2056735681068,801.25,928.2056735681068
NO1.0,1,AUUC_cr_V1V2(0.5),712.1231054895089,801.2500000000033,712.1231054895089
NO2.0,1,AUUC_cr_V1,492.5375409391589,768.7500000000014,492.5375409391589
NO2.0,1,AUUC_cr_V2,922.8087568590337,768.75,922.8087568590337
NO2.0,1,AUUC_cr_V1V2(0.5),707.6731488991039,768.7500000000031,707.6731488991039
RAND,2,AUUC_cr_V1,664.5119638867509,562.5000000000009,664.5119638867509
RAND,2,AUUC_cr_V2,664.5119638867436,562.5,664.5119638867436
RAND,2,AUUC_cr_V1V2(0.5),664.5119638867509,562.5,664.5119638867509
Oracle,2,AUUC_cr_V1,1038.273616400549,893.7500000000016,1038.273616400549
Oracle,2,AUUC_cr_V2,1343.5281325579083,893.75,1343.5281325579083
Oracle,2,AUUC_cr_V1V2(0.5),1190.9008744792288,893.7500000000026,1190.9008744792288
NO0.1,2,AUUC_cr_V1,1029.3832552573876,886.2500000000016,1029.3832552573876
NO0.1,2,AUUC_cr_V2,1292.4423343085257,886.25,1292.4423343085257
NO0.1,2,AUUC_cr_V1V2(0.5),1160.912794782956,886.2500000000024,1160.912794782956
NO0.5,2,AUUC_cr_V1,1001.1182754318933,846.2500000000016,1001.1182754318933
NO0.5,2,AUUC_cr_V2,1226.480753840372,846.25,1226.480753840372
NO0.5,2,AUUC_cr_V1V2(0.5),1113.7995146361307,846.2500000000019,1113.7995146361307
NO1.0,2,AUUC_cr_V1,963.1563419632381,818.7500000000016,963.1563419632381
NO1.0,2,AUUC_cr_V2,1167.4010908076486,818.75,1167.4010908076486
NO1.0,2,AUUC_cr_V1V2(0.5),1065.2787163854412,818.7500000000017,1065.2787163854412
NO2.0,2,AUUC_cr_V1,837.7201580321153,738.7500000000014,837.7201580321153
NO2.0,2,AUUC_cr_V2,1067.920745089943,738.75,1067.920745089943
NO2.0,2,AUUC_cr_V1V2(0.5),952.820451561027,738.7500000000011,952.820451561027
RAND,3,AUUC_cr_V1,451.6855616266439,562.5000000000009,451.6855616266439
RAND,3,AUUC_cr_V2,451.6855616266075,562.5,451.6855616266075
RAND,3,AUUC_cr_V1V2(0.5),451.68556162663117,562.5,451.68556162663117
Oracle,3,AUUC_cr_V1,738.7233818359064,893.7500000000016,738.7233818359064
Oracle,3,AUUC_cr_V2,1109.568795695487,893.75,1109.568795695487
Oracle,3,AUUC_cr_V1V2(0.5),924.1460887656996,893.7500000000026,924.1460887656996
NO0.1,3,AUUC_cr_V1,738.7233818359064,893.7500000000016,738.7233818359064
NO0.1,3,AUUC_cr_V2,1109.568795695487,893.75,1109.568795695487
NO0.1,3,AUUC_cr_V1V2(0.5),924.1460887656996,893.7500000000026,924.1460887656996
NO0.5,3,AUUC_cr_V1,747.3546502617511,886.2500000000016,747.3546502617511
NO0.5,3,AUUC_cr_V2,1117.22454709843,886.25,1117.22454709843
NO0.5,3,AUUC_cr_V1V2(0.5),932.2895986800922,886.2500000000026,932.2895986800922
NO1.0,3,AUUC_cr_V1,707.4935999925024,851.2500000000016,707.4935999925024
NO1.0,3,AUUC_cr_V2,1092.3182465103744,851.25,1092.3182465103744
NO1.0,3,AUUC_cr_V1V2(0.5),899.9059232514388,851.2500000000026,899.9059232514388
NO2.0,3,AUUC_cr_V1,671.7332450485308,836.2500000000016,671.7332450485308
NO2.0,3,AUUC_cr_V2,1138.754125755398,836.25,1138.754125755398
NO2.0,3,AUUC_cr_V1V2(0.5),905.2436854019646,836.2500000000026,905.2436854019646
RAND,4,AUUC_cr_V1,565.915298290362,562.5000000000009,565.915298290362
RAND,4,AUUC_cr_V2,565.9152982903506,562.5,565.9152982903506
RAND,4,AUUC_cr_V1V2(0.5),565.9152982903634,562.5,565.9152982903634
Oracle,4,AUUC_cr_V1,943.0605902748142,893.7500000000016,943.0605902748142
Oracle,4,AUUC_cr_V2,854.1916835627225,893.75,854.1916835627225
Oracle,4,AUUC_cr_V1V2(0.5),898.6261369187746,893.7500000000026,898.6261369187746
NO0.1,4,AUUC_cr_V1,943.0605902748142,893.7500000000016,943.0605902748142
NO0.1,4,AUUC_cr_V2,854.1916835627225,893.75,854.1916835627225
NO0.1,4,AUUC_cr_V1V2(0.5),898.6261369187746,893.7500000000026,898.6261369187746
NO0.5,4,AUUC_cr_V1,956.910915045268,853.7500000000016,956.910915045268
NO0.5,4,AUUC_cr_V2,796.8872976322887,853.75,796.8872976322887
NO0.5,4,AUUC_cr_V1V2(0.5),876.8991063387848,853.7500000000019,876.8991063387848
NO1.0,4,AUUC_cr_V1,922.7681427817794,806.2500000000014,922.7681427817794
NO1.0,4,AUUC_cr_V2,789.1313114792595,806.25,789.1313114792595
NO1.0,4,AUUC_cr_V1V2(0.5),855.9497271305277,806.2500000000024,855.9497271305277
NO2.0,4,AUUC_cr_V1,847.3901575918268,746.250000000001,847.3901575918268
NO2.0,4,AUUC_cr_V2,687.6517228068947,746.25,687.6517228068947
NO2.0,4,AUUC_cr_V1V2(0.5),767.5209401993693,746.2500000000024,767.5209401993693
RAND,5,AUUC_cr_V1,521.30056763216,562.5000000000009,521.30056763216
RAND,5,AUUC_cr_V2,521.3005676321482,562.5,521.3005676321482
RAND,5,AUUC_cr_V1V2(0.5),521.3005676321573,562.5,521.3005676321573
Oracle,5,AUUC_cr_V1,918.2701469020154,893.7500000000016,918.2701469020154
Oracle,5,AUUC_cr_V2,1389.9567503713095,893.75,1389.9567503713095
Oracle,5,AUUC_cr_V1V2(0.5),1154.1134486366648,893.7500000000026,1154.1134486366648
NO0.1,5,AUUC_cr_V1,918.2701469020154,893.7500000000016,918.2701469020154
