method,split,AUUC_version,AUUC,AUUC_thout,AUUC_emp
RAND,10,AUUC_cr_V1V2(0.5),541.5832022740906,562.5,541.5832022740906
Oracle,10,AUUC_cr_V1,773.9300084538826,893.7500000000016,773.9300084538826
Oracle,10,AUUC_cr_V2,626.0550686265917,893.75,626.0550686265917
Oracle,10,AUUC_cr_V1V2(0.5),699.992538540233,893.7500000000026,699.992538540233
NO0.1,10,AUUC_cr_V1,773.9300084538826,893.7500000000016,773.9300084538826
NO0.1,10,AUUC_cr_V2,626.0550686265917,893.75,626.0550686265917
NO0.1,10,AUUC_cr_V1V2(0.5),699.992538540233,893.7500000000026,699.992538540233
NO0.5,10,AUUC_cr_V1,725.3728854884671,883.7500000000016,725.3728854884671
NO0.5,10,AUUC_cr_V2,541.449828896764,883.75,541.449828896764
NO0.5,10,AUUC_cr_V1V2(0.5),633.4113571926116,883.7500000000026,633.4113571926116
NO1.0,10,AUUC_cr_V1,694.9075916736876,858.7500000000016,694.9075916736876
NO1.0,10,AUUC_cr_V2,493.505502049336,858.75,493.505502049336
NO1.0,10,AUUC_cr_V1V2(0.5),594.2065468615087,858.7500000000033,594.2065468615087
NO2.0,10,AUUC_cr_V1,740.7695467555977,846.2500000000016,740.7695467555977
NO2.0,10,AUUC_cr_V2,513.7411837212833,846.25,513.7411837212833
NO2.0,10,AUUC_cr_V1V2(0.5),627.255365238438,846.2500000000033,627.255365238438
RAND,11,AUUC_cr_V1,543.0153442061342,562.5000000000009,543.0153442061342
RAND,11,AUUC_cr_V2,543.0153442061383,562.5,543.0153442061383
RAND,11,AUUC_cr_V1V2(0.5),543.0153442061364,562.5,543.0153442061364
Oracle,11,AUUC_cr_V1,870.1589599346198,893.7500000000016,870.1589599346198
Oracle,11,AUUC_cr_V2,552.1868027309323,893.75,552.1868027309323
Oracle,11,AUUC_cr_V1V2(0.5),711.1728813327752,893.7500000000026,711.1728813327752
NO0.1,11,AUUC_cr_V1,870.1589599346198,893.7500000000016,870.1589599346198
NO0.1,11,AUUC_cr_V2,552.1868027309323,893.75,552.1868027309323
NO0.1,11,AUUC_cr_V1V2(0.5),711.1728813327752,893.7500000000026,711.1728813327752
NO0.5,11,AUUC_cr_V1,831.2728169716559,866.2500000000016,831.2728169716559
NO0.5,11,AUUC_cr_V2,778.266029148747,866.25,778.266029148747
NO0.5,11,AUUC_cr_V1V2(0.5),804.7694230601995,866.2500000000024,804.7694230601995
NO1.0,11,AUUC_cr_V1,834.4823683244576,818.7500000000016,834.4823683244576
NO1.0,11,AUUC_cr_V2,814.768229684026,818.75,814.768229684026
NO1.0,11,AUUC_cr_V1V2(0.5),824.6252990042394,818.7500000000026,824.6252990042394
NO2.0,11,AUUC_cr_V1,834.4823683244576,818.7500000000016,834.4823683244576
NO2.0,11,AUUC_cr_V2,814.768229684026,818.75,814.768229684026
NO2.0,11,AUUC_cr_V1V2(0.5),824.6252990042394,818.7500000000026,824.6252990042394
RAND,12,AUUC_cr_V1,578.1343816497565,562.5000000000009,578.1343816497565
RAND,12,AUUC_cr_V2,578.1343816497465,562.5,578.1343816497465
RAND,12,AUUC_cr_V1V2(0.5),578.134381649752,562.5,578.134381649752
Oracle,12,AUUC_cr_V1,1003.4213895533101,893.7500000000016,1003.4213895533101
Oracle,12,AUUC_cr_V2,750.3259956836192,893.75,750.3259956836192
Oracle,12,AUUC_cr_V1V2(0.5),876.8736926184567,893.7500000000026,876.8736926184567
NO0.1,12,AUUC_cr_V1,1003.4213895533101,893.7500000000016,1003.4213895533101
NO0.1,12,AUUC_cr_V2,750.3259956836192,893.75,750.3259956836192
NO0.1,12,AUUC_cr_V1V2(0.5),876.8736926184567,893.7500000000026,876.8736926184567
NO0.5,12,AUUC_cr_V1,1010.6529769547884,878.7500000000016,1010.6529769547884
NO0.5,12,AUUC_cr_V2,647.701814224162,878.75,647.701814224162
NO0.5,12,AUUC_cr_V1V2(0.5),829.1773955894677,878.7500000000031,829.1773955894677
NO1.0,12,AUUC_cr_V1,995.1377522536707,861.2500000000016,995.1377522536707
NO1.0,12,AUUC_cr_V2,634.6963567654998,861.25,634.6963567654998
NO1.0,12,AUUC_cr_V1V2(0.5),814.9170545095772,861.2500000000031,814.9170545095772
NO2.0,12,AUUC_cr_V1,974.5020806893664,806.2500000000014,974.5020806893664
NO2.0,12,AUUC_cr_V2,529.9215805833146,806.25,529.9215805833146
NO2.0,12,AUUC_cr_V1V2(0.5),752.2118306363336,806.2500000000031,752.2118306363336
RAND,13,AUUC_cr_V1,754.8737882154846,562.5000000000009,754.8737882154846
RAND,13,AUUC_cr_V2,754.8737882154528,562.5,754.8737882154528
RAND,13,AUUC_cr_V1V2(0.5),754.8737882154655,562.5,754.8737882154655
Oracle,13,AUUC_cr_V1,1173.5330394237633,893.7500000000016,1173.5330394237633
Oracle,13,AUUC_cr_V2,1058.585078110908,893.75,1058.585078110908
Oracle,13,AUUC_cr_V1V2(0.5),1116.0590587673337,893.7500000000026,1116.0590587673337
NO0.1,13,AUUC_cr_V1,1173.5330394237633,893.7500000000016,1173.5330394237633
NO0.1,13,AUUC_cr_V2,1058.585078110908,893.75,1058.585078110908
NO0.1,13,AUUC_cr_V1V2(0.5),1116.0590587673337,893.7500000000026,1116.0590587673337
NO0.5,13,AUUC_cr_V1,1081.987837668534,843.7500000000016,1081.987837668534
NO0.5,13,AUUC_cr_V2,939.5118802691773,843.75,939.5118802691773
NO0.5,13,AUUC_cr_V1V2(0.5),1010.7498589688538,843.7500000000031,1010.7498589688538
NO1.0,13,AUUC_cr_V1,992.0243111909169,791.2500000000014,992.0243111909169
NO1.0,13,AUUC_cr_V2,849.13796660339,791.25,849.13796660339
NO1.0,13,AUUC_cr_V1V2(0.5),920.5811388971512,791.2500000000031,920.5811388971512
NO2.0,13,AUUC_cr_V1,895.4678673545319,718.750000000001,895.4678673545319
NO2.0,13,AUUC_cr_V2,721.3343116687339,718.75,721.3343116687339
NO2.0,13,AUUC_cr_V1V2(0.5),808.4010895116303,718.7500000000031,808.4010895116303
RAND,14,AUUC_cr_V1,462.2966431351597,562.5000000000009,462.2966431351597
RAND,14,AUUC_cr_V2,462.29664313516696,562.5,462.29664313516696
RAND,14,AUUC_cr_V1V2(0.5),462.29664313516696,562.5,462.29664313516696
Oracle,14,AUUC_cr_V1,800.6090645763751,893.7500000000016,800.6090645763751
Oracle,14,AUUC_cr_V2,528.0458368877182,893.75,528.0458368877182
Oracle,14,AUUC_cr_V1V2(0.5),664.3274507320491,893.7500000000026,664.3274507320491
NO0.1,14,AUUC_cr_V1,794.2493260719308,891.2500000000016,794.2493260719308
NO0.1,14,AUUC_cr_V2,573.2723831402471,891.25,573.2723831402471
NO0.1,14,AUUC_cr_V1V2(0.5),683.7608546060908,891.2500000000024,683.7608546060908
NO0.5,14,AUUC_cr_V1,727.7201271631244,871.2500000000016,727.7201271631244
NO0.5,14,AUUC_cr_V2,503.30013632316616,871.25,503.30013632316616
NO0.5,14,AUUC_cr_V1V2(0.5),615.5101317431469,871.2500000000017,615.5101317431469
NO1.0,14,AUUC_cr_V1,698.6966465881198,846.2500000000016,698.6966465881198
NO1.0,14,AUUC_cr_V2,577.2466921108233,846.25,577.2466921108233
NO1.0,14,AUUC_cr_V1V2(0.5),637.9716693494732,846.2500000000011,637.9716693494732
NO2.0,14,AUUC_cr_V1,630.996821101787,816.2500000000014,630.996821101787
NO2.0,14,AUUC_cr_V2,459.28152869954306,816.25,459.28152869954306
NO2.0,14,AUUC_cr_V1V2(0.5),545.1391749006666,816.2500000000011,545.1391749006666
RAND,15,AUUC_cr_V1,515.9901867093622,562.5000000000009,515.9901867093622
RAND,15,AUUC_cr_V2,515.9901867093613,562.5,515.9901867093613
RAND,15,AUUC_cr_V1V2(0.5),515.9901867093577,562.5,515.9901867093577
Oracle,15,AUUC_cr_V1,824.5577330812691,893.7500000000016,824.5577330812691
Oracle,15,AUUC_cr_V2,601.2505835732305,893.75,601.2505835732305
Oracle,15,AUUC_cr_V1V2(0.5),712.9041583272466,893.7500000000026,712.9041583272466
NO0.1,15,AUUC_cr_V1,824.5577330812691,893.7500000000016,824.5577330812691
NO0.1,15,AUUC_cr_V2,601.2505835732305,893.75,601.2505835732305
NO0.1,15,AUUC_cr_V1V2(0.5),712.9041583272466,893.7500000000026,712.9041583272466
NO0.5,15,AUUC_cr_V1,845.8864632772527,886.2500000000016,845.8864632772527
NO0.5,15,AUUC_cr_V2,598.5447933873544,886.25,598.5447933873544
NO0.5,15,AUUC_cr_V1V2(0.5),722.2156283322998,886.2500000000026,722.2156283322998
NO1.0,15,AUUC_cr_V1,816.5047925850532,853.7500000000016,816.5047925850532
NO1.0,15,AUUC_cr_V2,539.4799357855396,853.75,539.4799357855396
NO1.0,15,AUUC_cr_V1V2(0.5),677.9923641852923,853.7500000000033,677.9923641852923
NO2.0,15,AUUC_cr_V1,785.4437522408709,816.2500000000016,785.4437522408709
NO2.0,15,AUUC_cr_V2,541.5117199510707,816.25,541.5117199510707
NO2.0,15,AUUC_cr_V1V2(0.5),663.4777360959669,816.2500000000033,663.4777360959669
RAND,16,AUUC_cr_V1,750.7190949881633,562.5000000000009,750.7190949881633
RAND,16,AUUC_cr_V2,750.7190949881515,562.5,750.7190949881515
